City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,kavaratti,10.5669,72.642,28.64,69,19,1.69,IN,1698344145
117,wewak,-3.5534,143.6268,25.38,87,100,2.76,PG,1698344146
118,northam,51.0333,-4.2167,13.14,93,55,4.66,GB,1698344146
119,churapcha,62.0025,132.4325,-10.13,97,100,2.09,RU,1698344147
120,carutapera,-1.195,-46.02,30.86,57,62,4.3,BR,1698344147
121,igarka,67.4667,86.5833,-10.13,92,16,4.5,RU,1698344148
122,sao joao da barra,-21.6403,-41.0511,26.05,85,35,4.39,BR,1698343966
123,puerto aysen,-45.4,-72.7,8.81,98,100,2.4,CL,1698344149
124,launceston,-41.45,147.1667,2.8,87,2,1.54,AU,1698344149
125,fort mcmurray,56.7268,-111.381,-2.23,80,100,5.14,CA,1698344151
126,acapulco de juarez,16.8634,-99.8901,28.69,68,74,2.5,MX,1698344151
127,maua,-23.6678,-46.4614,21.89,91,100,3.11,BR,1698344152
128,raduzhny,62.0961,77.475,-5.26,91,100,7.62,RU,1698344152
129,hotan,37.0997,79.9269,13.91,22,39,3.14,CN,1698344153
130,iqaluit,63.7506,-68.5145,-2.15,74,75,1.54,CA,1698344154
131,sinabang,2.4803,96.3801,26.12,82,100,1.45,ID,1698344154
132,avarua,-21.2078,-159.775,22.03,60,75,4.12,CK,1698344121
133,bairnsdale,-37.8333,147.6167,6.7,84,12,2.1,AU,1698344132
134,vilyuchinsk,52.9306,158.4028,1.63,79,5,4.01,RU,1698343941
135,raton,36.9034,-104.4391,20.34,21,0,7.72,US,1698344156
136,linevo,54.4589,83.3764,0.84,76,100,9.06,RU,1698344158
137,gizo,-8.103,156.8419,26.4,80,100,1.08,SB,1698344158
138,pacocha,-17.5833,-71.3333,21.08,64,100,2.06,PE,1698344159
139,stanley,54.868,-1.6985,10.29,94,75,4.12,GB,1698344159
140,altay,47.8667,88.1167,7.84,31,48,2.57,CN,1698344161
141,lihue,21.9789,-159.3672,24.58,78,0,2.06,US,1698344161
142,kolonia,50.9333,6.95,11.99,88,100,0.84,DE,1698343893
143,aioun,16.6614,-9.6149,36.17,8,42,3.99,MR,1698344163
144,crane,31.3974,-102.3501,25.22,32,0,4.17,US,1698344163
145,mejit,10.2753,170.8646,27.78,78,66,4.95,MH,1698344164
146,isla mujeres,21.2311,-86.731,30.09,62,98,7.16,MX,1698344123
